REGIONE;ELETTORI;TOTALE_ELETTORI_M;TOTALE_ELETTORI_F;PERC_VOTANTI;PERC_VOTANTI_NO;PERC_VOTANTI_SI;PERC_VOTANTI_ALTRO
ABRUZZO;1052049;509116;542933;66.5928987147089;61.70781334017193;37.12591364567239;1.166273014155694
BASILICATA;467000;227236;239764;59.853817579890865;62.0020772757459;36.44553303611717;1.5523896881369408
CALABRIA;1553741;749404;804337;52.81824244715456;62.47380368139985;36.36543121021586;1.1607651083843165
CAMPANIA;4566905;2190203;2376702;60.132150074260984;64.23843233505903;34.72299819227376;1.038569472667204
EMILIA-ROMAGNA;3326910;1605036;1721874;74.43651760444199;51.17140082573331;47.9127397027942;0.9158594714724583
FRIULI-VENEZIA GIULIA;952494;457538;494956;72.01898076391723;60.80169389338645;38.26972214056678;0.9285839660467237
LAZIO;4402145;2097786;2304359;67.71497300955629;64.17508029462527;34.89495777383794;0.9299619315368071
LIGURIA;1241469;585208;656261;68.46204937004822;61.046395435588316;37.89068443774602;1.0629201266656918
LOMBARDIA;7480375;3616467;3863908;74.34188317248167;58.33565211294017;40.8133357365827;0.8510121504771454
MARCHE;1189181;574341;614840;70.87221633236466;54.61839576192248;44.29339124244946;1.0882129956280726
MOLISE;256600;124778;131822;60.926153689614424;57.02070158282005;41.7368501555747;1.242448261605239
PIEMONTE;3396378;1633247;1763131;71.46223048231043;57.570098560947926;41.24180577992564;1.1880956591263516
PUGLIA;3280712;1571599;1709113;61.48319340717496;64.33368270645157;34.69116364377815;0.9751536497703029
SARDEGNA;1375735;668772;706963;58.8821192103055;69.00959044168647;30.240683085028234;0.7497264732852773
SICILIA;4031871;1924425;2107446;56.44691228866621;67.77754270506783;30.94060754325048;1.2818497516816716
TOSCANA;2854129;1364774;1489355;73.47317184986896;46.92908257051473;52.0380118326315;1.032905596853763
TRENTINO-ALTO ADIGE;792504;387839;404665;72.70797154813354;44.39008620085246;54.48089432874067;1.129019470406886
UMBRIA;675404;324409;350995;72.03204254492239;50.99853169515483;47.9957580873029;1.0057102175422472
VALLE D'AOSTA;99735;48701;51034;72.17809787116668;54.249915709711026;43.826618405575424;1.9234658847135753
VENETO;3714515;1801910;1912605;76.63114085550947;63.577419845084805;35.623589777889926;0.798990377025325
